Main Features,Resolution,Model,Specification,"≥200pcs
USD/SET", UNIT COST IN NAIRA , UNIT COST OF SHIPMENT , TOTAL COST , RESELLER MARK-UP15% , TSI MARK-UP-25 , END-USER MARK-UP-35% , 19% RS , 21% RS , 23% RS , SUNDAY ONU PRICE-SILVER , SILVER , BRONZE , PLATINUM , RESELLER PRICE , TSI PRICE ,7.40%,  EU PRICE 
"2MP Bullet Starlight HD Camera
IR LED: 10µ x15PCS
IR range:25M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",1080P,JVS-A813-YWC,"1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",9.50," 7,030.00 "," 1,195.10 "," 8,225.10 "," 1,233.77 "," 2,056.28 "," 2,878.79 "," 1,316.02 "," 1,151.51 ", 987.01 ," 9,541.12 "," 10,215.57 "," 9,771.42 "," 9,438.30 "," 9,458.87 "," 10,281.38 "," 10,282.20 "," 11,103.89 "
"2MP Metal Dome Starlight HD Camera
IR LED: 10µ x15PCS
IR range:20M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",1080P,JVS-A833-YWS,"•1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",10.50," 7,770.00 "," 1,320.90 "," 9,090.90 "," 1,363.64 "," 2,272.73 "," 3,181.82 "," 1,454.54 "," 1,272.73 "," 1,090.91 "," 10,545.44 "," 11,290.90 "," 10,799.99 "," 10,431.81 "," 10,454.54 "," 11,363.63 "," 11,364.53 "," 12,272.72 "
"2MP Metal Bullet Starlight HD Camera
IR LED: 10µ x15PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Metal
Ingress Protection:IP66",1080P,JVS-A813-YWS,"1/ 2.9"" CMOS Sensor
•Full HD resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
 Starlight",11.00," 8,140.00 "," 1,383.80 "," 9,523.80 "," 1,428.57 "," 2,380.95 "," 3,333.33 "," 1,523.81 "," 1,333.33 "," 1,142.86 "," 11,047.61 "," 11,828.56 "," 11,314.27 "," 10,928.56 "," 10,952.37 "," 11,904.75 "," 11,905.70 "," 12,857.13 "
"2MP Dome Full Color Camera
LED: 28µ x2PCS
IR range: 20M
Board Len 4mm/F2.0
Case: Plastic for indoor use
Ingress Protection:IP54
",1080P,JVS-A836-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",10.00," 7,400.00 "," 1,258.00 "," 8,658.00 "," 1,298.70 "," 2,164.50 "," 3,030.30 "," 1,385.28 "," 1,212.12 "," 1,038.96 "," 10,043.28 "," 10,753.24 "," 10,285.70 "," 9,935.06 "," 9,956.70 "," 10,822.50 "," 10,823.37 "," 11,688.30 "
"2MP Bullet Full Color Camera
LED: 28µ x4PCS
IR range:30M
Board Len 4mm/F2.0
Case: Plastic for outdoor use
Ingress Protection:IP66",1080P,JVS-A816-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",10.50," 7,770.00 "," 1,320.90 "," 9,090.90 "," 1,363.64 "," 2,272.73 "," 3,181.82 "," 1,454.54 "," 1,272.73 "," 1,090.91 "," 10,545.44 "," 11,290.90 "," 10,799.99 "," 10,431.81 "," 10,454.54 "," 11,363.63 "," 11,364.53 "," 12,272.72 "
"4MP Bullet HD Camera
IR LED: 14µ x18PCS
IR range: 20M
Board Len 4mm/F1.6
Case:Plastic
Ingress Protection:IP66",4.0MP,JVS-A410-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 2560 x  1440
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",12.50," 9,250.00 "," 1,572.50 "," 10,822.50 "," 1,623.38 "," 2,705.63 "," 3,787.88 "," 1,731.60 "," 1,515.15 "," 1,298.70 "," 12,554.10 "," 13,441.55 "," 12,857.13 "," 12,418.82 "," 12,445.88 "," 13,528.13 "," 13,529.21 "," 14,610.38 "
"4MP Dome HD Camera
IR LED: 14µ x18PCS
IR range: 20M
Board Len 4mm/F1.6
Case: Plastic for indoor use
Ingress Protection:IP66",4.0MP,JVS-A430-YWC,"1/ 3"" CMOS Sensor
•Full HD resolution 2560 x  1440
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",11.50," 8,510.00 "," 1,446.70 "," 9,956.70 "," 1,493.51 "," 2,489.18 "," 3,484.85 "," 1,593.07 "," 1,393.94 "," 1,194.80 "," 11,549.77 "," 12,366.22 "," 11,828.56 "," 11,425.31 "," 11,450.21 "," 12,445.88 "," 12,446.87 "," 13,441.55 "
"5MP Bullet HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",5.0MP,JVS-A510-YWC,"1/ 2.8"" CMOS Sensor
•Full HD resolution  2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",13.00," 9,620.00 "," 1,635.40 "," 11,255.40 "," 1,688.31 "," 2,813.85 "," 3,939.39 "," 1,800.86 "," 1,575.76 "," 1,350.65 "," 13,056.26 "," 13,979.21 "," 13,371.42 "," 12,915.57 "," 12,943.71 "," 14,069.25 "," 14,070.38 "," 15,194.79 "
"5MP  Dome HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Plastic
Ingress Protection:IP66",5.0MP,JVS-A530-YWC,"1/ 2.8"" CMOS Sensor
•Full HD resolution 2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",15.00," 11,100.00 "," 1,887.00 "," 12,987.00 "," 1,948.05 "," 3,246.75 "," 4,545.45 "," 2,077.92 "," 1,818.18 "," 1,558.44 "," 15,064.92 "," 16,129.85 "," 15,428.56 "," 14,902.58 "," 14,935.05 "," 16,233.75 "," 16,235.05 "," 17,532.45 "
"5MP Bullet HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",5.0MP,JVS-A510-YWS,"1/ 2.8"" CMOS Sensor
•Full HD resolution  2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",15.50," 11,470.00 "," 1,949.90 "," 13,419.90 "," 2,012.99 "," 3,354.98 "," 4,696.97 "," 2,147.18 "," 1,878.79 "," 1,610.39 "," 15,567.08 "," 16,667.52 "," 15,942.84 "," 15,399.34 "," 15,432.89 "," 16,774.88 "," 16,776.22 "," 18,116.87 "
"5MP Metal Dome HD Camera
IR LED: 14µ x18PCS
IR range: 30M
Board Len 4mm/F2.0
Case:Metal
Ingress Protection:IP66",5.0MP,JVS-A530-YWS,"1/ 2.8"" CMOS Sensor
•Full HD resolution 2560 x 1944
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control",15.00," 11,100.00 "," 1,887.00 "," 12,987.00 "," 1,948.05 "," 3,246.75 "," 4,545.45 "," 2,077.92 "," 1,818.18 "," 1,558.44 "," 15,064.92 "," 16,129.85 "," 15,428.56 "," 14,902.58 "," 14,935.05 "," 16,233.75 "," 16,235.05 "," 17,532.45 "
"5MP Dome Full Color Camera
LED: 28µ x2PCS
IR range: 20M
Board Len 4mm/F2.0
Case: Plastic for indoor use
Ingress Protection:IP54
",5MP,JVS-A536-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",13.50," 9,990.00 "," 1,698.30 "," 11,688.30 "," 1,753.25 "," 2,922.08 "," 4,090.91 "," 1,870.13 "," 1,636.36 "," 1,402.60 "," 13,558.43 "," 14,516.87 "," 13,885.70 "," 13,412.32 "," 13,441.55 "," 14,610.38 "," 14,611.54 "," 15,779.21 "
"5MP Bullet Full Color Camera
LED: 28µ x4PCS
IR range:30M
Board Len 4mm/F2.0
Case: Plastic for outdoor use
Ingress Protection:IP66",5MP,JVS-A516-HYC,"1/ 2.9"" CMOS Sensor
•Full HD  resolution 1920 x 1080
•4-in-1 HD TVI,AHD, CVI, CVBS optional output
•UTC Coaxial Control
Full Color  UTC Coaxial Control Built-in Mic",14.00," 10,360.00 "," 1,761.20 "," 12,121.20 "," 1,818.18 "," 3,030.30 "," 4,242.42 "," 1,939.39 "," 1,696.97 "," 1,454.54 "," 14,060.59 "," 15,054.53 "," 14,399.99 "," 13,909.08 "," 13,939.38 "," 15,151.50 "," 15,152.71 "," 16,363.62 "
"2MP Metal Dome Varifocal Camera
IR range: 30M
Board Len: 2.8mm-12mm
Case:Metal
Ingress Protection:IP66",2MP,A4322-VF,"4-in-1 Varifocal 2.8-12mm HD Dome  Camera,English quick start guide,Sony Sensor",17.00," 12,580.00 "," 2,138.60 "," 14,718.60 "," 2,207.79 "," 3,679.65 "," 5,151.51 "," 2,354.98 "," 2,060.60 "," 1,766.23 "," 17,073.58 "," 18,280.50 "," 17,485.70 "," 16,889.59 "," 16,926.39 "," 18,398.25 "," 18,399.72 "," 19,870.11 "
"2MP Metal Dome Varifocal Camera
IR range: 30M
Board Len: 2.8mm-12mm
Case:Metal
Ingress Protection:IP66",2MP,A4322SL-VF,"4-in-1 Varifocal Starlight 
2.8-12mm HD Dome  Camera,Sony Sensor",19.00," 14,060.00 "," 2,390.20 "," 16,450.20 "," 2,467.53 "," 4,112.55 "," 5,757.57 "," 2,632.03 "," 2,303.03 "," 1,974.02 "," 19,082.23 "," 20,431.15 "," 19,542.84 "," 18,876.60 "," 18,917.73 "," 20,562.75 "," 20,564.40 "," 22,207.77 "
"4CH 1080N AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
4*1080N@25fps（4 in 1）
",H.265/1080N,JVS-XD2704-FC10T,"Video input:4CH,BNC
Sync Playback: 1CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",20.00," 14,800.00 "," 2,516.00 "," 17,316.00 "," 2,597.40 "," 4,329.00 "," 6,060.60 "," 2,770.56 "," 2,424.24 "," 2,077.92 "," 20,086.56 "," 21,506.47 "," 20,571.41 "," 19,870.11 "," 19,913.40 "," 21,645.00 "," 21,646.73 "," 23,376.60 "
"8CH 1080N AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
8*1080N@25fps（4 in 1）
",H.265/1080N,JVS-XD2708-FC10T,"Video input:4CH,BNC
Sync Playback: 4CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",24.00," 17,760.00 "," 3,019.20 "," 20,779.20 "," 3,116.88 "," 5,194.80 "," 7,272.72 "," 3,324.67 "," 2,909.09 "," 2,493.50 "," 24,103.87 "," 25,807.77 "," 24,685.69 "," 23,844.13 "," 23,896.08 "," 25,974.00 "," 25,976.08 "," 28,051.92 "
"16CH 1080N AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
16*1080N@25fps（4 in 1）
",H.265/1080N,JVS-XD2716-FC10T,"Video input:4CH,BNC
Sync Playback: 4CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",40.00," 29,600.00 "," 5,032.00 "," 34,632.00 "," 5,194.80 "," 8,658.00 "," 12,121.20 "," 5,541.12 "," 4,848.48 "," 4,155.84 "," 40,173.12 "," 43,012.94 "," 41,142.82 "," 39,740.22 "," 39,826.80 "," 43,290.00 "," 43,293.46 "," 46,753.20 "
"4CH 5MN AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
4*5MN@12fps（4 in 1）
4*4MN@17fps（4 in 1）
4*1080N@15fps（4 in 1）",H.265/5M-N 20FPS,JVS-XD2504-FC10T,"Video input:4CH,BNC
Sync Playback: 4CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",24.00," 17,760.00 "," 3,019.20 "," 20,779.20 "," 3,116.88 "," 5,194.80 "," 7,272.72 "," 3,324.67 "," 2,909.09 "," 2,493.50 "," 24,103.87 "," 25,807.77 "," 24,685.69 "," 23,844.13 "," 23,896.08 "," 25,974.00 "," 25,976.08 "," 28,051.92 "
"8CH 5MN AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
8*5MN@6fps（4 in 1） 
8*4MN@8fps（4 in 1）
8*1080N@15fps（4 in 1)",H.265/5M-N 12FPS,JVS-XD2508-FC10T,"Video input:8CH,BNC
Sync Playback: 8CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",29.00," 21,460.00 "," 3,648.20 "," 25,108.20 "," 3,766.23 "," 6,277.05 "," 8,787.87 "," 4,017.31 "," 3,515.15 "," 3,012.98 "," 29,125.51 "," 31,184.38 "," 29,828.54 "," 28,811.66 "," 28,874.43 "," 31,385.25 "," 31,387.76 "," 33,896.07 "
"16CH 5MN  AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
16*5MN@6fps（4 in 1） 
16*4MN@8fps（4 in 1）
16*1080N@15fps（4 in 1)",H.265/5M-N 12FPS,JVS-XD2516-FC10T,"Video input:16CH,BNC
Sync Playback: 8CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",48.00," 35,520.00 "," 6,038.40 "," 41,558.40 "," 6,233.76 "," 10,389.60 "," 14,545.44 "," 6,649.34 "," 5,818.18 "," 4,987.01 "," 48,207.74 "," 51,615.53 "," 49,371.38 "," 47,688.26 "," 47,792.16 "," 51,948.00 "," 51,952.16 "," 56,103.84 "
"8CH 5MN AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
8*5M@12fps（4 in 1）
8*4M@15fps（4 in 1）",H.265/5M-N 20FPS,JVS-XD2808-FC11T,"Video input:8CH,BNC
Sync Playback: 8CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",40.00," 29,600.00 "," 5,032.00 "," 34,632.00 "," 5,194.80 "," 8,658.00 "," 12,121.20 "," 5,541.12 "," 4,848.48 "," 4,155.84 "," 40,173.12 "," 43,012.94 "," 41,142.82 "," 39,740.22 "," 39,826.80 "," 43,290.00 "," 43,293.46 "," 46,753.20 "
"16CH 5MN  AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Decoding Ability：
8*5M@12fps（4 in 1）
8*4M@15fps（4 in 1）
8*1080P@15fps（4 in 1）",H.265/5M-N 20FPS,JVS-XD2816-FC11T,"Video input:16CH,BNC
Sync Playback: 8CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 250x223x42mm",69.00," 51,060.00 "," 8,680.20 "," 59,740.20 "," 8,961.03 "," 14,935.05 "," 20,909.07 "," 9,558.43 "," 8,363.63 "," 7,168.82 "," 69,298.63 "," 74,197.33 "," 70,971.36 "," 68,551.88 "," 68,701.23 "," 74,675.25 "," 74,681.22 "," 80,649.27 "
"4CH 5MN AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Video Input：4CH BNC+12CH IPC
Decoding Ability：
4*5MN@12fps（4 in 1）
4*4MN@12fps（4 in 1）
4*1080N@15fps（4 in 1）",H.265/5M-N 20FPS,JVS-XD2604-FC10V,"Video input:4CH,BNC
Sync Playback: 4CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 260x220x42mm",24.00," 17,760.00 "," 3,019.20 "," 20,779.20 "," 3,116.88 "," 5,194.80 "," 7,272.72 "," 3,324.67 "," 2,909.09 "," 2,493.50 "," 24,103.87 "," 25,807.77 "," 24,685.69 "," 23,844.13 "," 23,896.08 "," 25,974.00 "," 25,976.08 "," 28,051.92 "
"4CH 5MN AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1 SATA ,Up to 8TB 
Video Input：8CH BNC+4CH IPC
Decoding Ability：
8*5MN@6fps（4 in 1）
8*4MN@8fps（4 in 1）
8*1080N@15fps（4 in 1）",H.265/5M-N 12FPS,JVS-XD2608-FC10V,"Video input:4CH,BNC
Sync Playback: 4CH
2 pcs USB 2.0 
Standard Color: Black
Dimension: 260x220x42mm",29.00," 21,460.00 "," 3,648.20 "," 25,108.20 "," 3,766.23 "," 6,277.05 "," 8,787.87 "," 4,017.31 "," 3,515.15 "," 3,012.98 "," 29,125.51 "," 31,184.38 "," 29,828.54 "," 28,811.66 "," 28,874.43 "," 31,385.25 "," 31,387.76 "," 33,896.07 "
"8CH 5MP AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
1*SATA Up to 6 TB capacity  
4MP@25/30fps,1080P@25/30fps
5MP@20/12.5fps, 4MP@25/30fps, 1080P@25/30   
Max 4ch 5M playback
TVI/AHD/CVI/Analog/IP 5-in-1
",H.265+ /5MP,JVS-XD2508-HL10V,"DVR Mode: 
8*5MP
HVR Mode:
4*5MP  +4*5MP(IP)                  
NVR Mode: 8*5MP(IP)         ",40.00," 29,600.00 "," 5,032.00 "," 34,632.00 "," 5,194.80 "," 8,658.00 "," 12,121.20 "," 5,541.12 "," 4,848.48 "," 4,155.84 "," 40,173.12 "," 43,012.94 "," 41,142.82 "," 39,740.22 "," 39,826.80 "," 43,290.00 "," 43,293.46 "," 46,753.20 "
"32ch 4MN  AHD/TVI/CVI/CVBS/IP 5-in-1 XVR
2X SATA (Up to 6TB/pcs)
32*4M-N@8fps
32*1080P-lite @18fps(5 in 1)
32*720P@18fps(5 in 1)record
Playback: 8ch 4.0MP/16ch 2.0MP
TVI/AHD/CVI/Analog/IP 5-in-1
",H.264+ /4MN,JVS-XD2832-HE20K,"DVR Mode: 
32*4MP
HVR Mode:
16*4MP + 16*2MP(IP)                
NVR Mode: 32*2MP(IP)     ",113.00," 83,620.00 "," 14,215.40 "," 97,835.40 "," 14,675.31 "," 24,458.85 "," 34,242.39 "," 15,653.66 "," 13,696.96 "," 11,740.25 "," 113,489.06 "," 121,511.57 "," 116,228.46 "," 112,266.12 "," 112,510.71 "," 122,294.25 "," 122,304.03 "," 132,077.79 "
"4CH 2.0MP Wi-Fi KIT
Transmission over 480 Meters
Plug and Play
Remotely View by Android and iOS Phone
Automatic Pairing",H.264/2MP,JVS-ND6604-FD,"* 4CH  Wi-Fi NVR (no HDD)   X 1
* Wi-Fi  Cameras   X 4
* DC 12V 2A Power adapter   X1
* DC 12V 1A Power adapter   X4
* USB Mouse   X 1
* User Manual   X1
* Screw bag   X4",95.00," 70,300.00 "," 11,951.00 "," 82,251.00 "," 12,337.65 "," 20,562.75 "," 28,787.85 "," 13,160.16 "," 11,515.14 "," 9,870.12 "," 95,411.16 "," 102,155.74 "," 97,714.19 "," 94,383.02 "," 94,588.65 "," 102,813.75 "," 102,821.98 "," 111,038.85 "
"4CH Wi-Fi KIT With Built-in Monitor
With Integrated Monitor, No Need to Purchase Monitor Seperately. One Kit, A Whole System!
Transmission over 480 Meters
Plug and Play
Remotely View by Android and iOS Phone
Automatic Pairing",H.264/2MP,JVS-ND6604-FDM,"* 4CH  Wi-Fi NVR（10.1 inch） (no HDD)   X 1
* Wi-Fi  Cameras   X 4
* DC 12V 2A Power adapter   X1
* DC 12V 1A Power adapter   X4
* USB Mouse   X 1
* User Manual   X1
* Screw bag   X4",150.00," 111,000.00 "," 18,870.00 "," 129,870.00 "," 19,480.50 "," 32,467.50 "," 45,454.50 "," 20,779.20 "," 18,181.80 "," 15,584.40 "," 150,649.20 "," 161,298.54 "," 154,285.56 "," 149,025.83 "," 149,350.50 "," 162,337.50 "," 162,350.49 "," 175,324.50 "
"4CH 2.0MP XVR KIT
DVR:H.265/4CH/5M-N
Camera：1/3""  2.0MP CMOS Sensor,1080P;
With IR-CUT,20M IR",H.264+ /2MP,JVS-XD2504-M,"1 * 4CH 1 SATA XVR with power adapter
4*2MP AHD Camera（Various Cameras optional according to your needs）
4*18M Video & Power 2-in-1 cables
1*12V/3A Power (for cameras)
1* 1-To-5 Power Splitters

",72.00," 53,280.00 "," 9,057.60 "," 62,337.60 "," 9,350.64 "," 15,584.40 "," 21,818.16 "," 9,974.02 "," 8,727.26 "," 7,480.51 "," 72,311.62 "," 77,423.30 "," 74,057.07 "," 71,532.40 "," 71,688.24 "," 77,922.00 "," 77,928.23 "," 84,155.76 "
"FaceTime  Attendance Device

Identification Method：Face Recognition  
Verification Speed＜1second
Face Database:5000 faces
Recognition Distance:0.3~2m
Recognition Accuracy upto 99.7%
",2MP AI,JVS-FRT-T5,"5 inch touch screen
Can detect 5 people at the same time
Support access control function
Night infrared, RGB LED light",90.00," 66,600.00 "," 11,322.00 "," 77,922.00 "," 11,688.30 "," 19,480.50 "," 27,272.70 "," 12,467.52 "," 10,909.08 "," 9,350.64 "," 90,389.52 "," 96,779.12 "," 92,571.34 "," 89,415.50 "," 89,610.30 "," 97,402.50 "," 97,410.29 "," 105,194.70 "
"Facial Recognition Terminal

Identification Method：Face Recognition  
Verification Speed＜1second
Face Database:20000 faces
Recognition Distance:0.3~2m
Recognition Accuracy:≥99.7%",2MP AI,JVS-FR-T8,"8 inch screen
Mask Detection
Support access control function
Night infrared, RGB LED light
Support Multi-Language 
Real-Time Voice Broadcast ",165.00," 122,100.00 "," 20,757.00 "," 142,857.00 "," 21,428.55 "," 35,714.25 "," 49,999.95 "," 22,857.12 "," 19,999.98 "," 17,142.84 "," 165,714.12 "," 177,428.39 "," 169,714.12 "," 163,928.41 "," 164,285.55 "," 178,571.25 "," 178,585.54 "," 192,856.95 "
"Temperature Detection&Mask Detection & Facial Recognition  3-in-1 System
Non-contact automatic Body Temperature Detection
Temperature Accuracy±0.3℃ 
Detection Distance: 30-60cm
Focal length：2.8mm
.",2MP AI,JVS-FRT-P8,"8 Inch Screen
Recognition Time < 1 Second 
Face Database ≥20 000 Faces 
Access Control
Support Multi-Language 
Real-Time Voice Broadcast 
High Temperature Alarm
",299.00," 221,260.00 "," 37,614.20 "," 258,874.20 "," 38,831.13 "," 64,718.55 "," 90,605.97 "," 41,419.87 "," 36,242.39 "," 31,064.90 "," 300,294.07 "," 321,521.76 "," 307,542.55 "," 297,058.14 "," 297,705.33 "," 323,592.75 "," 323,618.64 "," 349,480.17 "
"Body Temperature Thermal Camera
Thermal Sensor:Uncooled VOX Sensor
Temperature Accuracy ±0.3℃ 
Thermal Resolution: 256x192
Detection Distance: Upto 5m
Focal length：6mm
Built-in speaker
Can be used to prohibit epidemic of COVID-19 by detecting human temperature 
600 USD added for Blackbody",2MP AI,JVS-FRT-DL08,"Support High Temperature Alarm and Broadcasting
Support HDMI output (No need PC)
Simultaneous Detecting: Upto 10 Persons 
Efficiency: ≥100 Persons/Min
Multipel languages,Support VMS",799.00," 591,260.00 "," 100,514.20 "," 691,774.20 "," 103,766.13 "," 172,943.55 "," 242,120.97 "," 110,683.87 "," 96,848.39 "," 83,012.90 "," 802,458.07 "," 859,183.56 "," 821,827.75 "," 793,810.89 "," 795,540.33 "," 864,717.75 "," 864,786.93 "," 933,895.17 "
"Fire Prevention Thermal camera
Thermal Sensor:Uncooled VOX Sensor
Thermal Resolution： 256x192
Temperature Distance: 2~40m
Temperature Range -10℃~+550℃
Focal length：6mm
Over-temperature Warning, Automatic alarm
Support 10 detection areas
Multipel languages,Support VMS
Built-in speaker",2MP AI,JVS-FPT-DL18 ,,850.00," 629,000.00 "," 106,930.00 "," 735,930.00 "," 110,389.50 "," 183,982.50 "," 257,575.50 "," 117,748.80 "," 103,030.20 "," 88,311.60 "," 853,678.80 "," 914,025.06 "," 874,284.84 "," 844,479.68 "," 846,319.50 "," 919,912.50 "," 919,986.09 "," 993,505.50 "
"Temperature Detection &  Sanitizer Dispensation 2-in-1 Device
Detection Distance：1~5cm
Temperature Accuracy±0.2°C
Automatically Sense Rinse-Free Hand Sanitizer 
",/,SP-03,"High Temperature Alarm
Real-Time Voice Broadcast
Support °C/°F 
Support Multi-Language
",35.00," 25,900.00 "," 4,403.00 "," 30,303.00 "," 4,545.45 "," 7,575.75 "," 10,606.05 "," 4,848.48 "," 4,242.42 "," 3,636.36 "," 35,151.48 "," 37,636.33 "," 35,999.96 "," 34,772.69 "," 34,848.45 "," 37,878.75 "," 37,881.78 "," 40,909.05 "
"Long Range PTZ Laser Camera 
3Km  Detection Distance
Support 360° Pan and Tilt
Ingress Protection:IP66",2MP AI,JVS-NL65-Z70,"70x Optical  Motorized and 32x Digital Zoom
7 ~ 500mm Visible Zoom Lens
810nm military grade infrared laser",7500.00," 5,550,000.00 "," 943,500.00 "," 6,493,500.00 "," 1,298,700.00 "," 1,948,050.00 "," 2,597,400.00 "," 1,038,960.00 "," 909,090.00 "," 779,220.00 "," 7,532,460.00 "," 8,363,628.00 "," 7,999,992.00 "," 7,727,265.00 "," 7,792,200.00 "," 8,441,550.00 "," 8,418,173.40 "," 9,090,900.00 "
"Long Range PTZ Thermal Camera
6th Gen Uncooled focal Plane Array VOx Detector
2.4Km Detection Distance
Support 360° Pan and Tilt
Ingress Protection:IP66",2MP AI,JVS-DL64-Z33,"
5.5 ~ 180mm 33x optical zoom, 16x digital zoom
20mm Thermal Lens
Thermal Resolution：640 x 512
1.0~8.0x continuous zoom for thermal video
",6000.00," 4,440,000.00 "," 754,800.00 "," 5,194,800.00 "," 1,038,960.00 "," 1,558,440.00 "," 2,077,920.00 "," 831,168.00 "," 727,272.00 "," 623,376.00 "," 6,025,968.00 "," 6,690,902.40 "," 6,399,993.60 "," 6,181,812.00 "," 6,233,760.00 "," 6,753,240.00 "," 6,734,538.72 "," 7,272,720.00 "
"13Km Super Long Range PTZ Thermal Camera
6th Gen Uncooled focal Plane Array VOx Detector
13Km Detection Distance
 Support 360° Pan and Tilt
Support Intrusion detection, Cross-border detection, Entry/exit area detection, etc.
Applicable for Car Detection ,Truck Detection, Ship Detection, Drone Detection
Ingress Protection:IP66",4MP AI,JVS-DL68-Z78,"11 ~ 860mm 78x  Motorized Zoom
31 ~ 155mm Thermal Lens
Thermal Resolution：640 x 512
1.0~8.0x continuous zoom for thermal video",16000.00," 11,840,000.00 "," 2,012,800.00 "," 13,852,800.00 "," 2,770,560.00 "," 4,155,840.00 "," 5,541,120.00 "," 2,216,448.00 "," 1,939,392.00 "," 1,662,336.00 "," 16,069,248.00 "," 17,842,406.40 "," 17,066,649.60 "," 16,484,832.00 "," 16,623,360.00 "," 18,008,640.00 "," 17,958,769.92 "," 19,393,920.00 "
"AI Box for Edge Computing
The new 11th Gen  Intel® Core™  Tiger Lake embedded CPU provides AI computing ability to meet the requirements of AI edge computing application scenarios
Compatible with DililiLabs and Frigate NVR software",AI Box,JVS-B700-T,i3-1115G4 3.0GHz-4.1GHz 2Core 28W,720.00," 532,800.00 "," 90,576.00 "," 623,376.00 "," 93,506.40 "," 155,844.00 "," 218,181.60 "," 99,740.16 "," 87,272.64 "," 74,805.12 "," 723,116.16 "," 774,232.99 "," 740,570.69 "," 715,323.96 "," 716,882.40 "," 779,220.00 "," 779,282.34 "," 841,557.60 "
